Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,Product ID,Product Name,Sales,Quantity,Discount,Shipping Cost,Profit,Total,total,profit_margin,total-form-freature,total-form-freatureEngineering,total_from_featureEngineering
ID-2015-LS1694559-42149,5/25/2015,5/29/2015,LS-1694559,Linda Southworth,Indonesia,OFF-PA-5878,"SanDisk Message Books, Premium",88.37,7,0.47,17.06,-78.37,104.96,10.0,-0.8868394251442797,10.0,10.0,10.0
MO-2015-MK816086-42134,5/10/2015,5/13/2015,MK-816086,Mike Kennedy,Morocco,FUR-TA-3755,"Chromcraft Coffee Table, Adjustable Height",269.28,1,0.0,35.78,110.4,305.06,379.68,0.4099821746880571,379.68,379.68,379.67999999999995
ES-2015-MP17470120-42101,4/7/2015,4/11/2015,MP-17470120,Mark Packer,Spain,TEC-MA-4999,"Konica Calculator, Red",175.61,4,0.1,18.91,56.57,194.42,232.18,0.3221342748135072,232.18,232.18,232.18
IN-2015-CA120551-42085,3/22/2015,3/29/2015,CA-120551,Cathy Armstrong,Afghanistan,FUR-FU-5726,"Rubbermaid Door Stop, Erganomic",169.68,4,0.0,11.01,79.68,180.69,249.36,0.4695898161244696,249.36,249.36,249.36
IN-2015-LD170057-42063,2/28/2015,3/4/2015,LD-170057,Lisa DeCherney,Australia,FUR-BO-5798,"Safco Stackable Bookrack, Pine",545.4,4,0.1,106.53,60.6,651.83,606.0,0.11111111111111112,606.0,606.0,606.0
RO-2015-LA6780107-42063,2/28/2015,3/2/2015,LA-6780107,Laura Armstrong,Romania,TEC-PH-3148,"Apple Smart Phone, Full Size",1272.42,2,0.0,87.08,356.22,1359.5,1628.64,0.27995473192813697,1628.64,1628.64,1628.64
CA-2015-TM21490140-42213,7/28/2015,8/1/2015,TM-214901406,Tony Molinari,United States,FUR-FU-6299,Tensor Computer Mounted Lamp,14.89,1,0.0,1.8,4.02,16.69,18.91,0.26997985224983206,18.91,18.91,18.91
CA-2014-CP12085140-41729,3/31/2014,4/2/2014,CP-120851406,Cathy Prescott,United States,OFF-PA-6428,Xerox 188,11.34,1,0.0,2.01,5.56,13.35,16.9,0.49029982363315694,16.9,16.9,16.9
US-2015-SW20245140-42061,2/26/2015,3/2/2015,SW-202451408,Scot Wooten,United States,FUR-BO-3652,"Bush Westfield Collection Bookcases, Medium Cherry Finish",231.92,5,0.2,12.95,5.8,244.67,237.72,0.025008623663332185,237.72,237.72,237.72
US-2015-SW20245140-42061,2/26/2015,3/2/2015,SW-202451408,Scot Wooten,United States,FUR-CH-4412,"Global High-Back Leather Tilter, Burgundy",196.78,2,0.2,9.91,-22.14,206.49,174.64,-0.11251143408883017,174.64,174.64,174.64
ID-2014-VW2177559-42001,12/28/2014,1/2/2015,VW-2177559,Victoria Wilson,Indonesia,OFF-ST-6262,"Tenex Lockers, Industrial",339.69,2,0.17,25.49,32.73,365.01,372.42,0.09635255674291265,372.42,372.42,372.42
IN-2014-AC106157-42001,12/28/2014,12/31/2014,AC-106157,Ann Chong,Australia,OFF-EN-4912,"Jiffy Interoffice Envelope, Set of 50",167.18,4,0.1,23.8,18.5,190.88,185.68,0.11065916975714798,185.68,185.68,185.68
ES-2014-DK1283545-41974,12/1/2014,12/5/2014,DK-1283545,Damala Kotsonis,France,TEC-MA-4999,"Konica Calculator, Red",41.46,1,0.15,1.46,11.7,42.77,53.16,0.2821997105643994,53.16,53.16,53.16
MX-2014-DB1321036-41961,11/18/2014,11/20/2014,DB-1321036,Dean Braden,Dominican Republic,OFF-PA-4462,"Green Bar Cards & Envelopes, Multicolor",79.68,3,0.2,13.812,-6.0,93.292,73.68,-0.0753012048192771,73.68,73.68,73.68
MX-2014-AW1084082-41942,10/30/2014,11/3/2014,AW-1084082,Anthony Witt,Mexico,OFF-LA-4687,"Hon Round Labels, Alphabetical",4.32,1,0.0,1.123,2.06,5.443,6.380000000000001,0.47685185185185186,6.380000000000001,6.380000000000001,6.380000000000001
CA-2015-SF20200140-42310,11/2/2015,11/4/2015,SF-202001404,Sarah Foster,United States,FUR-TA-4625,Hon 94000 Series Round Tables,2665.62,9,0.0,294.17,239.91,2959.79,2905.53,0.09000157561843024,2905.53,2905.53,2905.5299999999997
CA-2015-SF20200140-42310,11/2/2015,11/4/2015,SF-202001404,Sarah Foster,United States,OFF-BI-4366,GBC Standard Plastic Binding Systems' Combs,25.12,5,0.2,1.53,7.85,26.45,32.97,0.3125,32.97,32.97,32.97
MX-2014-NP1868565-41907,9/25/2014,9/30/2014,NP-1868565,Nora Pelletier,Jamaica,FUR-CH-5367,"Novimex Bag Chairs, Black",174.12,6,0.0,8.684,76.56,182.804,250.68,0.43969676085458304,250.68,250.68,250.68
MA-2014-FC424577-41878,8/27/2014,9/2/2014,FC-424577,Frank Carlisle,Madagascar,TEC-AC-3390,"Belkin Memory Card, Programmable",232.62,2,0.0,15.95,69.78,248.57,302.4,0.299974206860975,302.4,302.4,302.4
CA-2015-DS13030140-42026,1/22/2015,1/26/2015,DS-130301404,Darrin Sayre,United States,OFF-ST-3745,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3,0.0,38.48,9.72,281.42,252.66,0.04000987898246481,252.66,252.66,252.66
MX-2014-RS1976593-41878,8/27/2014,8/29/2014,RS-1976593,Roland Schwarz,Nicaragua,FUR-CH-5449,"Office Star Rocking Chair, Set of Two",190.88,2,0.0,15.568,43.88,206.448,234.76,0.2298826487845767,234.76,234.76,234.76
ES-2014-JM1526514-41878,8/27/2014,9/1/2014,JM-1526514,Janet Molinari,Belgium,OFF-EN-3661,"Cameo Interoffice Envelope, Recycled",138.69,3,0.0,14.81,58.23,153.5,196.92,0.4198572355613238,196.92,196.92,196.92
RS-2014-TH11100108-41875,8/24/2014,8/28/2014,TH-11100108,Thea Hendricks,Russia,OFF-PA-4143,"Enermax Cards & Envelopes, 8.5 x 11",102.48,2,0.0,6.32,9.18,108.8,111.66,0.08957845433255268,111.66,111.66,111.66
ID-2014-MT1807059-41839,7/19/2014,7/23/2014,MT-1807059,Michelle Tran,Indonesia,FUR-CH-5437,"Office Star Chairmat, Adjustable",99.73,2,0.27,14.31,-24.65,113.77,75.08000000000001,-0.24716735184999497,75.08000000000001,75.08000000000001,75.08000000000001
CA-2014-AS10285140-41941,10/29/2014,10/30/2014,AS-102851404,Alejandro Savely,United States,OFF-BI-6098,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.54,3,0.2,7.99,17.34,57.33,66.88,0.3500201857085184,66.88,66.88,66.88
CA-2014-CC12475140-41920,10/8/2014,10/13/2014,CC-124751404,Cindy Chapman,United States,OFF-PA-3159,Astroparche Fine Business Paper,10.56,2,0.0,1.61,5.07,12.17,15.63,0.48011363636363635,15.63,15.63,15.63
MO-2014-MA799586-41825,7/5/2014,7/9/2014,MA-799586,Michelle Arnett,Morocco,OFF-BI-2883,"Acco 3-Hole Punch, Economy",30.12,1,0.0,5.73,5.7,35.85,35.82,0.1892430278884462,35.82,35.82,35.82
RS-2014-MS7980108-41816,6/26/2014,6/30/2014,MS-7980108,Michael Stewart,Russia,FUR-TA-3418,"Bevis Computer Table, Fully Assembled",495.99,1,0.0,28.83,238.05,524.82,734.04,0.47994919252404283,734.04,734.04,734.04
US-2014-DL1333055-41814,6/24/2014,6/26/2014,DL-1333055,Denise Leinenbach,Honduras,OFF-BI-4828,"Ibico Index Tab, Clear",13.39,4,0.4,2.41,-8.93,15.4,4.460000000000001,-0.6669156086631814,4.460000000000001,4.460000000000001,4.460000000000001
ES-2014-JH1582064-41811,6/21/2014,6/25/2014,JH-1582064,John Huston,Italy,OFF-SU-4976,"Kleencut Box Cutter, Steel",136.2,4,0.0,9.51,21.72,145.71,157.92,0.15947136563876652,157.92,157.92,157.92
IN-2014-AC1061558-41808,6/18/2014,6/22/2014,AC-1061558,Ann Chong,India,OFF-BI-4828,"Ibico Index Tab, Clear",16.74,2,0.0,1.14,0.66,17.88,17.4,0.039426523297491044,17.4,17.4,17.4
ID-2014-BD116207-41791,6/1/2014,6/5/2014,BD-116207,Brian DeCherney,Australia,OFF-EN-3657,"Cameo Clasp Envelope, Recycled",24.93,5,0.4,1.06,-8.37,25.59,16.560000000000002,-0.33574007220216606,16.560000000000002,16.560000000000002,16.560000000000002
IN-2014-VS2182027-41790,5/31/2014,6/2/2014,VS-2182027,Vivek Sundaresam,China,FUR-BO-3639,"Bush Library with Doors, Metal",1455.12,4,0.0,504.56,116.4,1959.68,1571.52,0.07999340260597065,1571.52,1571.52,1571.52
US-2014-AH1003036-41787,5/28/2014,5/29/2014,AH-1003036,Aaron Hawkins,Dominican Republic,OFF-FA-6189,"Stockwell Paper Clips, Assorted Sizes",36.29,6,0.2,8.419,2.21,44.509,38.5,0.060898319096169745,38.5,38.5,38.5
US-2014-AH1003036-41787,5/28/2014,5/29/2014,AH-1003036,Aaron Hawkins,Dominican Republic,OFF-PA-3998,"Eaton Message Books, 8.5 x 11",65.92,5,0.2,8.057,16.42,73.777,82.34,0.24908980582524273,82.34,82.34,82.34
MX-2014-GT1471031-41787,5/28/2014,5/30/2014,GT-1471031,Greg Tran,Cuba,OFF-FA-5480,"OIC Staples, 12 Pack",50.26,7,0.0,7.272,4.48,57.532,54.74,0.08913649025069639,54.74,54.74,54.739999999999995
ID-2014-KH1633059-41730,4/1/2014,4/5/2014,KH-1633059,Katharine Harms,Indonesia,TEC-AC-4152,"Enermax Flash Drive, Erganomic",20.84,1,0.47,1.14,-1.99,21.51,18.85,-0.095489443378119,18.85,18.85,18.85
NI-2014-MM805595-41730,4/1/2014,4/6/2014,MM-805595,Michelle Moray,Nigeria,TEC-AC-3394,"Belkin Mouse, Programmable",12.66,1,0.7,1.12,-21.96,13.08,-9.3,-1.7345971563981044,-9.3,-9.3,-9.3
IT-2014-CM12235120-41729,3/31/2014,4/5/2014,CM-12235120,Chris McAfee,Spain,OFF-ST-4078,"Eldon Lockers, Blue",356.24,2,0.1,49.98,-0.04,406.12,356.2,-0.00011228385358185493,356.2,356.2,356.2
CA-2014-DJ13510140-41878,8/27/2014,8/30/2014,DJ-135101404,Don Jones,United States,FUR-CH-4426,Global Troy Executive Leather Low-Back Tilter,1603.14,4,0.2,489.6,100.2,2092.54,1703.34,0.06250233915939968,1703.34,1703.34,1703.3400000000001
IN-2014-DR129407-41728,3/30/2014,4/1/2014,DR-129407,Daniel Raglin,Australia,FUR-BO-5951,"Sauder Classic Bookcase, Traditional",1177.17,3,0.1,294.55,353.13,1471.62,1530.3000000000002,0.29998216060552,1530.3000000000002,1530.3000000000002,1530.3000000000002
IN-2014-DR129407-41728,3/30/2014,4/1/2014,DR-129407,Daniel Raglin,Australia,TEC-PH-3818,"Cisco Speaker Phone, with Caller ID",373.9,3,0.1,27.09,128.74,400.89,502.64,0.34431666220914686,502.64,502.64,502.64
SF-2014-TH11115117-41689,2/19/2014,2/24/2014,TH-11115117,Thea Hudgings,South Africa,OFF-ST-5692,"Rogers File Cart, Industrial",849.6,6,0.0,59.84,144.36,909.44,993.96,0.16991525423728815,993.96,993.96,993.96
ES-2014-PP1895545-41689,2/19/2014,2/25/2014,PP-1895545,Paul Prost,France,TEC-CO-3591,"Brother Fax and Copier, Color",327.98,2,0.15,54.65,34.7,382.48,362.68,0.10579913409354229,362.68,362.68,362.68
MO-2014-GP474086-41678,2/8/2014,2/9/2014,GP-474086,Guy Phonely,Morocco,FUR-BO-5953,"Sauder Corner Shelving, Mobile",149.82,1,0.0,41.93,44.94,191.75,194.76,0.29995995194233077,194.76,194.76,194.76
MX-2014-PA1906036-41671,2/1/2014,2/3/2014,PA-1906036,Pete Armstrong,Dominican Republic,OFF-ST-4029,"Eldon Box, Industrial",22.91,4,0.2,1.084,8.27,23.794,31.18,0.36097773897861196,31.18,31.18,31.18
CA-2014-KH16690140-41833,7/13/2014,7/20/2014,KH-166901404,Kristen Hastings,United States,TEC-PH-3814,Cisco SPA525G2 IP Phone - Wireless,95.76,6,0.2,8.21,7.18,103.77,102.94,0.07497911445279866,102.94,102.94,102.94
IN-2014-SP205457-41670,1/31/2014,2/6/2014,SP-205457,Sibella Parks,Australia,OFF-ST-6261,"Tenex Lockers, Blue",1286.15,7,0.1,160.66,228.59,1446.71,1514.74,0.1777319908253314,1514.74,1514.74,1514.74
HR-2014-KM622530-41670,1/31/2014,2/4/2014,KM-622530,Kalyca Meade,Croatia,TEC-MA-5013,"Konica Phone, Wireless",861.9,10,0.0,78.83,172.2,940.73,1034.1,0.19979115906717715,1034.1,1034.1,1034.1
ID-2014-KB16315144-41670,1/31/2014,2/5/2014,KB-16315144,Karl Braun,Vietnam,OFF-ST-6263,"Tenex Lockers, Single Width",677.88,4,0.17,74.71,-24.6,752.42,653.28,-0.036289608780315105,653.28,653.28,653.28
IN-2014-PC1874558-41667,1/28/2014,2/2/2014,PC-1874558,Pamela Coakley,India,OFF-ST-4282,"Fellowes Shelving, Blue",86.76,3,0.5,10.16,-38.25,96.42,48.510000000000005,-0.4408713692946058,48.510000000000005,48.510000000000005,48.510000000000005
EG-2014-LS694538-41667,1/28/2014,1/31/2014,LS-694538,Linda Southworth,Egypt,OFF-BI-3738,"Cardinal Index Tab, Durable",30.48,4,0.0,9.38,13.68,39.86,44.16,0.44881889763779526,44.16,44.16,44.16
IN-2014-AG1027092-41649,1/10/2014,1/11/2014,AG-1027092,Alejandro Grove,New Zealand,TEC-MA-4192,"Epson Calculator, Wireless",92.82,2,0.0,14.58,45.48,107.4,138.29999999999998,0.48998060762766643,138.29999999999998,138.29999999999998,138.29999999999998
ID-2014-NK1849088-41649,1/10/2014,1/14/2014,NK-1849088,Neil Knudson,Myanmar (Burma),OFF-AP-3878,"Cuisinart Toaster, Silver",134.98,3,0.17,13.9,37.33,148.71,172.31,0.2765594902948585,172.31,172.31,172.31
GG-2014-NP867047-41649,1/10/2014,1/16/2014,NP-867047,Nora Paige,Georgia,OFF-AP-3566,"Breville Coffee Grinder, Black",122.58,2,0.0,11.01,42.9,133.59,165.48,0.3499755261869799,165.48,165.48,165.48
CA-2014-GT475523-41649,1/10/2014,1/12/2014,GT-475523,Guy Thornton,Canada,TEC-AC-5136,"Logitech Router, Programmable",248.82,1,0.0,31.11,89.55,279.93,338.37,0.35989872196768746,338.37,338.37,338.37
ES-2014-AH1069045-41641,1/2/2014,1/5/2014,AH-1069045,Anna Häberlin,France,OFF-AR-6127,"Stanley Sketch Pad, Fluorescent",137.07,3,0.0,21.79,21.87,158.86,158.94,0.15955351280367697,158.94,158.94,158.94
IN-2014-KA1652592-41641,1/2/2014,1/6/2014,KA-1652592,Kelly Andreada,New Zealand,TEC-PH-5827,"Samsung Headset, with Caller ID",292.8,4,0.0,18.93,20.4,311.73,313.2,0.06967213114754098,313.2,313.2,313.2
