Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,Product ID,Product Name,Sales,Quantity,Discount,Shipping Cost,Profit
RS-2014-MS7980108-41816,6/26/2014,6/30/2014,MS-7980108,Michael Stewart,Russia,FUR-TA-3418,"Bevis Computer Table, Fully Assembled",495.99,1,0,28.83,238.05
US-2014-DL1333055-41814,6/24/2014,6/26/2014,DL-1333055,Denise Leinenbach,Honduras,OFF-BI-4828,"Ibico Index Tab, Clear",13.39,4,0.4,2.41,-8.93
ES-2014-JH1582064-41811,6/21/2014,6/25/2014,JH-1582064,John Huston,Italy,OFF-SU-4976,"Kleencut Box Cutter, Steel",136.2,4,0,9.51,21.72
IN-2014-AC1061558-41808,6/18/2014,6/22/2014,AC-1061558,Ann Chong,India,OFF-BI-4828,"Ibico Index Tab, Clear",16.74,2,0,1.14,0.66
ID-2014-BD116207-41791,6/1/2014,6/5/2014,BD-116207,Brian DeCherney,Australia,OFF-EN-3657,"Cameo Clasp Envelope, Recycled",24.93,5,0.4,1.06,-8.37
IN-2014-VS2182027-41790,5/31/2014,6/2/2014,VS-2182027,Vivek Sundaresam,China,FUR-BO-3639,"Bush Library with Doors, Metal",1455.12,4,0,504.56,116.4
US-2014-AH1003036-41787,5/28/2014,5/29/2014,AH-1003036,Aaron Hawkins,Dominican Republic,OFF-FA-6189,"Stockwell Paper Clips, Assorted Sizes",36.29,6,0.2,8.419,2.21
US-2014-AH1003036-41787,5/28/2014,5/29/2014,AH-1003036,Aaron Hawkins,Dominican Republic,OFF-PA-3998,"Eaton Message Books, 8.5 x 11",65.92,5,0.2,8.057,16.42
MX-2014-GT1471031-41787,5/28/2014,5/30/2014,GT-1471031,Greg Tran,Cuba,OFF-FA-5480,"OIC Staples, 12 Pack",50.26,7,0,7.272,4.48
ID-2014-KH1633059-41730,4/1/2014,4/5/2014,KH-1633059,Katharine Harms,Indonesia,TEC-AC-4152,"Enermax Flash Drive, Erganomic",20.84,1,0.47,1.14,-1.99
NI-2014-MM805595-41730,4/1/2014,4/6/2014,MM-805595,Michelle Moray,Nigeria,TEC-AC-3394,"Belkin Mouse, Programmable",12.66,1,0.7,1.12,-21.96
IT-2014-CM12235120-41729,3/31/2014,4/5/2014,CM-12235120,Chris McAfee,Spain,OFF-ST-4078,"Eldon Lockers, Blue",356.24,2,0.1,49.98,-0.04
CA-2014-DJ13510140-41878,8/27/2014,8/30/2014,DJ-135101404,Don Jones,United States,FUR-CH-4426,Global Troy Executive Leather Low-Back Tilter,1603.14,4,0.2,489.6,100.2
IN-2014-DR129407-41728,3/30/2014,4/1/2014,DR-129407,Daniel Raglin,Australia,FUR-BO-5951,"Sauder Classic Bookcase, Traditional",1177.17,3,0.1,294.55,353.13
IN-2014-DR129407-41728,3/30/2014,4/1/2014,DR-129407,Daniel Raglin,Australia,TEC-PH-3818,"Cisco Speaker Phone, with Caller ID",373.9,3,0.1,27.09,128.74
SF-2014-TH11115117-41689,2/19/2014,2/24/2014,TH-11115117,Thea Hudgings,South Africa,OFF-ST-5692,"Rogers File Cart, Industrial",849.6,6,0,59.84,144.36
ES-2014-PP1895545-41689,2/19/2014,2/25/2014,PP-1895545,Paul Prost,France,TEC-CO-3591,"Brother Fax and Copier, Color",327.98,2,0.15,54.65,34.7
MO-2014-GP474086-41678,2/8/2014,2/9/2014,GP-474086,Guy Phonely,Morocco,FUR-BO-5953,"Sauder Corner Shelving, Mobile",149.82,1,0,41.93,44.94
MX-2014-PA1906036-41671,2/1/2014,2/3/2014,PA-1906036,Pete Armstrong,Dominican Republic,OFF-ST-4029,"Eldon Box, Industrial",22.91,4,0.2,1.084,8.27
CA-2014-KH16690140-41833,7/13/2014,7/20/2014,KH-166901404,Kristen Hastings,United States,TEC-PH-3814,Cisco SPA525G2 IP Phone - Wireless,95.76,6,0.2,8.21,7.18
IN-2014-SP205457-41670,1/31/2014,2/6/2014,SP-205457,Sibella Parks,Australia,OFF-ST-6261,"Tenex Lockers, Blue",1286.15,7,0.1,160.66,228.59
HR-2014-KM622530-41670,1/31/2014,2/4/2014,KM-622530,Kalyca Meade,Croatia,TEC-MA-5013,"Konica Phone, Wireless",861.9,10,0,78.83,172.2
ID-2014-KB16315144-41670,1/31/2014,2/5/2014,KB-16315144,Karl Braun,Vietnam,OFF-ST-6263,"Tenex Lockers, Single Width",677.88,4,0.17,74.71,-24.6
IN-2014-PC1874558-41667,1/28/2014,2/2/2014,PC-1874558,Pamela Coakley,India,OFF-ST-4282,"Fellowes Shelving, Blue",86.76,3,0.5,10.16,-38.25
EG-2014-LS694538-41667,1/28/2014,1/31/2014,LS-694538,Linda Southworth,Egypt,OFF-BI-3738,"Cardinal Index Tab, Durable",30.48,4,0,9.38,13.68
IN-2014-AG1027092-41649,1/10/2014,1/11/2014,AG-1027092,Alejandro Grove,New Zealand,TEC-MA-4192,"Epson Calculator, Wireless",92.82,2,0,14.58,45.48
ID-2014-NK1849088-41649,1/10/2014,1/14/2014,NK-1849088,Neil Knudson,Myanmar (Burma),OFF-AP-3878,"Cuisinart Toaster, Silver",134.98,3,0.17,13.9,37.33
GG-2014-NP867047-41649,1/10/2014,1/16/2014,NP-867047,Nora Paige,Georgia,OFF-AP-3566,"Breville Coffee Grinder, Black",122.58,2,0,11.01,42.9
CA-2014-GT475523-41649,1/10/2014,1/12/2014,GT-475523,Guy Thornton,Canada,TEC-AC-5136,"Logitech Router, Programmable",248.82,1,0,31.11,89.55
ES-2014-AH1069045-41641,1/2/2014,1/5/2014,AH-1069045,Anna Häberlin,France,OFF-AR-6127,"Stanley Sketch Pad, Fluorescent",137.07,3,0,21.79,21.87
IN-2014-KA1652592-41641,1/2/2014,1/6/2014,KA-1652592,Kelly Andreada,New Zealand,TEC-PH-5827,"Samsung Headset, with Caller ID",292.8,4,0,18.93,20.4
IN-2015-LD170057-42063,2/28/2015,3/4/2015,LD-170057,Lisa DeCherney,Australia,FUR-BO-5798,"Safco Stackable Bookrack, Pine",545.4,4,0.1,106.53,60.6
CA-2014-CC12475140-41920,10/8/2014,10/13/2014,CC-124751404,Cindy Chapman,United States,OFF-PA-3159,Astroparche Fine Business Paper,10.56,2,0,1.61,5.07
ID-2014-VW2177559-42001,12/28/2014,1/2/2015,VW-2177559,Victoria Wilson,Indonesia,OFF-ST-6262,"Tenex Lockers, Industrial",339.69,2,0.17,25.49,32.73
CA-2015-TM21490140-42213,7/28/2015,8/1/2015,TM-214901406,Tony Molinari,United States,FUR-FU-6299,Tensor Computer Mounted Lamp,14.89,1,0,1.8,4.02
